freq_MHz,level_dBm
30,-94.81
30.4852,-95.00
30.9705,-94.86
31.4557,-95.00
31.941,-94.56
32.4262,-93.47
32.9115,-94.07
33.3967,-95.00
33.8819,-94.63
34.3672,-94.76
34.8524,-93.45
35.3377,-95.00
35.8229,-94.86
36.3082,-95.00
36.7934,-94.86
37.2786,-94.64
37.7639,-95.00
38.2491,-93.26
38.7344,-95.00
39.2196,-95.00
39.7049,-93.73
40.1901,-95.00
40.6753,-95.00
41.1606,-95.00
41.6458,-92.89
42.1311,-95.00
42.6163,-93.85
43.1016,-95.00
43.5868,-94.72
44.072,-94.87
44.5573,-94.55
45.0425,-93.85
45.5278,-94.57
46.013,-94.68
46.4982,-95.00
46.9835,-93.17
47.4687,-94.77
47.954,-92.67
48.4392,-95.00
48.9245,-94.36
49.4097,-93.71
49.8949,-95.00
50.3802,-95.00
50.8654,-95.00
51.3507,-94.08
51.8359,-95.00
52.3212,-95.00
52.8064,-95.00
53.2916,-95.00
53.7769,-95.00
54.2621,-95.00
54.7474,-95.00
55.2326,-93.45
55.7179,-95.00
56.2031,-94.81
56.6883,-95.00
57.1736,-94.58
57.6588,-94.59
58.1441,-95.00
58.6293,-95.00
59.1146,-95.00
59.5998,-94.90
60.085,-95.00
60.5703,-93.63
61.0555,-93.59
61.5408,-91.69
62.026,-93.90
62.5113,-94.17
62.9965,-95.00
63.4817,-94.93
63.967,-95.00
64.4522,-95.00
64.9375,-94.02
65.4227,-93.39
65.908,-91.98
66.3932,-94.02
66.8784,-95.00
67.3637,-95.00
67.8489,-94.10
68.3342,-94.63
68.8194,-93.50
69.3047,-95.00
69.7899,-93.16
70.2751,-92.47
70.7604,-95.00
71.2456,-94.37
71.7309,-95.00
72.2161,-93.08
72.7014,-94.35
73.1866,-94.01
73.6718,-95.00
74.1571,-95.00
74.6423,-94.51
75.1276,-95.00
75.6128,-95.00
76.098,-95.00
76.5833,-95.00
77.0685,-94.78
77.5538,-92.73
78.039,-94.14
78.5243,-95.00
79.0095,-95.00
79.4947,-94.80
79.98,-93.91
80.4652,-93.52
80.9505,-94.03
81.4357,-95.00
81.921,-95.00
82.4062,-93.65
82.8914,-95.00
83.3767,-95.00
83.8619,-93.77
84.3472,-95.00
84.8324,-95.00
85.3177,-92.22
85.8029,-95.00
86.2881,-95.00
86.7734,-95.00
87.2586,-94.15
87.7439,-93.50
88.2291,-95.00
88.7144,-94.54
89.1996,-95.00
89.6848,-94.26
90.1701,-94.84
90.6553,-95.00
91.1406,-92.49
91.6258,-95.00
92.1111,-93.98
92.5963,-94.22
93.0815,-95.00
93.5668,-93.55
94.052,-95.00
94.5373,-93.43
95.0225,-95.00
95.5078,-95.00
95.993,-93.81
96.4782,-95.00
96.9635,-95.00
97.4487,-95.00
97.934,-95.00
98.4192,-94.93
98.9045,-94.97
99.3897,-90.13
99.8749,-49.66
100.36,-72.78
100.845,-93.57
101.331,-95.00
101.816,-95.00
102.301,-95.00
102.786,-95.00
