freq_kHz,level_dBuV
1,6.09
1.09955,6.00
1.1991,6.83
1.29865,6.92
1.3982,6.00
1.49775,6.00
1.5973,6.00
1.69685,6.00
1.7964,6.00
1.89595,6.00
1.9955,6.00
2.09505,7.10
2.1946,6.51
2.29415,6.00
2.3937,6.00
2.49325,6.75
2.5928,6.00
2.69235,8.82
2.7919,7.36
2.89145,6.00
2.991,6.57
3.09055,6.00
3.1901,6.81
3.28964,7.04
3.38919,6.00
3.48874,7.84
3.58829,6.08
3.68784,6.36
3.78739,6.00
3.88694,6.00
3.98649,7.90
4.08604,6.00
4.18559,6.00
4.28514,6.56
4.38469,6.08
4.48424,6.00
4.58379,6.00
4.68334,6.00
4.78289,6.00
4.88244,7.44
4.98199,6.39
5.08154,6.00
5.18109,7.43
5.28064,6.00
5.38019,6.51
5.47974,6.00
5.57929,8.41
5.67884,6.00
5.77839,6.05
5.87794,6.00
5.97749,8.54
6.07704,6.17
6.17659,7.72
6.27614,6.00
6.37569,7.04
6.47524,7.23
6.57479,6.00
6.67434,6.00
6.77389,6.00
6.87344,6.14
6.97299,6.00
7.07254,7.20
7.17209,6.49
7.27164,6.00
7.37119,6.23
7.47074,7.52
7.57029,6.00
7.66983,6.00
7.76938,7.40
7.86893,7.10
7.96848,7.34
8.06803,7.48
8.16758,6.00
8.26713,6.00
8.36668,6.00
8.46623,8.28
8.56578,6.00
8.66533,7.16
8.76488,7.35
8.86443,7.63
8.96398,6.00
9.06353,6.00
9.16308,6.00
9.26263,7.85
9.36218,6.88
9.46173,6.00
9.56128,6.00
9.66083,6.00
9.76038,6.00
9.85993,6.00
9.95948,6.26
10.059,6.21
10.1586,8.24
10.2581,8.21
10.3577,6.00
10.4572,7.33
10.5568,6.00
10.6563,6.00
10.7559,6.00
10.8554,7.76
10.955,6.00
11.0545,7.39
11.1541,6.00
11.2536,8.84
11.3532,6.00
11.4527,6.26
11.5523,6.00
11.6518,6.00
11.7514,6.00
11.8509,8.33
11.9505,6.00
12.05,8.58
12.1496,6.61
12.2491,6.24
12.3487,6.22
12.4482,6.00
12.5478,6.26
12.6473,6.00
12.7469,8.36
12.8464,6.34
12.946,6.62
13.0455,7.15
13.1451,7.43
13.2446,7.59
13.3442,6.00
13.4437,6.00
13.5433,6.00
13.6428,6.00
13.7424,6.00
13.8419,6.00
13.9415,6.70
14.041,6.00
14.1406,6.57
14.2401,6.00
14.3397,6.00
14.4392,6.00
14.5388,6.00
14.6383,6.13
14.7379,6.08
14.8374,6.02
14.937,6.00
15.0365,6.00
15.1361,6.00
15.2356,6.08
15.3352,8.14
15.4347,15.53
15.5343,35.98
15.6338,47.87
15.7334,31.96
15.8329,13.15
15.9325,6.87
16.032,6.05
16.1316,6.25
16.2311,6.00
16.3307,6.00
16.4302,7.13
16.5298,6.00
16.6293,6.00
16.7289,6.86
16.8284,6.00
16.928,7.80
17.0275,6.00
17.1271,6.18
17.2266,6.19
17.3262,8.32
17.4257,7.62
17.5253,6.04
17.6248,6.55
17.7244,6.17
17.8239,6.00
17.9235,6.44
18.023,7.37
18.1226,6.78
18.2221,6.00
18.3217,8.04
18.4212,6.59
18.5208,6.00
18.6203,6.00
18.7199,6.51
18.8194,7.56
18.919,7.87
19.0185,6.00
19.1181,6.00
19.2176,6.34
19.3172,6.00
19.4167,6.00
19.5163,6.64
19.6158,6.18
19.7154,6.00
19.8149,6.00
19.9145,7.02
20.014,8.48
20.1136,6.00
20.2131,7.03
20.3127,6.00
20.4122,6.83
20.5118,7.60
20.6113,6.00
20.7109,7.06
20.8104,6.00
20.91,6.00
21.0095,6.00
21.1091,6.92
21.2086,6.00
21.3082,6.00
21.4077,6.00
21.5073,6.03
21.6068,7.42
21.7064,6.00
21.8059,6.48
21.9055,6.00
22.005,6.00
22.1046,6.00
22.2041,6.33
22.3037,6.52
22.4032,6.00
22.5028,6.00
22.6023,6.29
22.7019,6.00
22.8014,7.23
22.901,6.00
23.0005,6.00
23.1001,6.00
23.1996,7.62
23.2991,6.00
23.3987,6.00
23.4982,6.00
23.5978,6.89
23.6973,6.00
23.7969,6.00
23.8964,6.55
23.996,7.58
24.0955,6.00
24.1951,6.00
24.2946,6.00
24.3942,8.15
24.4937,7.25
24.5933,6.00
24.6928,6.00
24.7924,6.53
24.8919,7.94
24.9915,6.96
25.091,6.28
25.1906,6.00
25.2901,6.00
25.3897,7.61
25.4892,7.32
25.5888,6.42
25.6883,6.00
25.7879,6.00
25.8874,7.67
25.987,6.00
26.0865,6.24
26.1861,7.12
26.2856,6.00
26.3852,6.00
26.4847,6.00
26.5843,7.16
26.6838,6.00
26.7834,6.00
26.8829,6.09
26.9825,6.45
27.082,6.16
27.1816,7.15
27.2811,7.07
27.3807,6.00
27.4802,6.76
27.5798,6.23
27.6793,6.00
27.7789,6.00
27.8784,6.00
27.978,7.08
28.0775,6.00
28.1771,6.87
28.2766,7.69
28.3762,6.00
28.4757,6.70
28.5753,6.76
28.6748,6.00
28.7744,8.14
28.8739,6.00
28.9735,6.00
29.073,6.00
29.1726,6.00
29.2721,6.83
29.3717,6.40
29.4712,6.68
29.5708,6.00
29.6703,6.48
29.7699,6.00
29.8694,6.00
29.969,6.00
30.0685,6.00
30.1681,9.63
30.2676,7.03
30.3672,8.95
30.4667,8.00
30.5663,7.43
