freq_MHz,level_dBuV
30,8.23
30.4852,8.00
30.9705,8.00
31.4557,9.51
31.941,8.00
32.4262,10.36
32.9115,8.16
33.3967,9.46
33.8819,8.84
34.3672,9.18
34.8524,8.00
35.3377,8.00
35.8229,8.00
36.3082,9.56
36.7934,8.00
37.2786,8.00
37.7639,8.23
38.2491,9.54
38.7344,9.94
39.2196,8.97
39.7049,8.00
40.1901,9.88
40.6753,8.00
41.1606,8.00
41.6458,8.00
42.1311,8.73
42.6163,8.14
43.1016,8.07
43.5868,8.00
44.072,9.55
44.5573,8.34
45.0425,8.00
45.5278,8.80
46.013,8.00
46.4982,8.38
46.9835,8.60
47.4687,8.74
47.954,9.09
48.4392,9.18
48.9245,8.06
49.4097,8.00
49.8949,9.41
50.3802,8.00
50.8654,8.00
51.3507,8.00
51.8359,8.00
52.3212,8.82
52.8064,10.19
53.2916,8.25
53.7769,10.35
54.2621,8.00
54.7474,8.00
55.2326,8.00
55.7179,8.00
56.2031,8.00
56.6883,9.11
57.1736,8.52
57.6588,8.25
58.1441,8.00
58.6293,8.00
59.1146,9.07
59.5998,10.37
60.085,9.27
60.5703,8.52
61.0555,8.00
61.5408,8.00
62.026,10.12
62.5113,8.06
62.9965,8.00
63.4817,9.21
63.967,9.21
64.4522,8.00
64.9375,8.00
65.4227,8.28
65.908,8.00
66.3932,8.08
66.8784,8.00
67.3637,8.09
67.8489,8.10
68.3342,9.43
68.8194,8.00
69.3047,8.00
69.7899,8.00
70.2751,8.25
70.7604,8.24
71.2456,8.53
71.7309,8.73
72.2161,8.99
72.7014,8.58
73.1866,8.00
73.6718,8.00
74.1571,8.00
74.6423,8.00
75.1276,8.84
75.6128,8.00
76.098,9.05
76.5833,9.72
77.0685,9.31
77.5538,8.00
78.039,9.32
78.5243,8.00
79.0095,8.00
79.4947,8.00
79.98,8.00
80.4652,8.00
80.9505,8.68
81.4357,8.00
81.921,8.00
82.4062,8.00
82.8914,8.75
83.3767,9.25
83.8619,8.00
84.3472,8.00
84.8324,8.00
85.3177,8.34
85.8029,8.00
86.2881,9.04
86.7734,8.59
87.2586,8.15
87.7439,8.91
88.2291,8.00
88.7144,8.00
89.1996,8.72
89.6848,8.00
90.1701,8.00
90.6553,10.15
91.1406,9.42
91.6258,10.30
92.1111,8.00
92.5963,8.59
93.0815,8.00
93.5668,8.00
94.052,8.00
94.5373,8.00
95.0225,8.00
95.5078,8.00
95.993,8.40
96.4782,8.00
96.9635,8.06
97.4487,8.00
97.934,9.04
98.4192,8.62
98.9045,10.03
99.3897,8.00
99.8749,8.00
100.36,8.41
100.845,8.99
101.331,8.00
101.816,8.00
102.301,8.00
102.786,8.00
103.272,9.93
103.757,8.00
104.242,8.00
104.727,10.24
105.213,9.22
105.698,9.10
106.183,8.78
106.668,8.18
107.154,8.00
107.639,8.00
108.124,8.50
108.609,8.00
109.095,8.00
109.58,10.40
110.065,8.61
110.55,8.84
111.036,8.00
111.521,8.00
112.006,8.76
112.491,9.09
112.976,9.06
113.462,9.02
113.947,8.26
114.432,9.30
114.917,8.00
115.403,8.18
115.888,10.59
116.373,9.13
116.858,8.00
117.344,8.00
117.829,8.00
118.314,8.69
118.799,8.00
119.285,8.00
119.77,9.32
120.255,8.87
120.74,8.00
121.226,9.75
121.711,8.00
122.196,8.00
122.681,8.46
123.167,9.69
123.652,9.91
124.137,8.00
124.622,8.00
125.108,8.05
125.593,8.00
126.078,8.54
126.563,8.00
127.049,8.38
127.534,8.00
128.019,8.00
128.504,8.00
128.989,8.00
129.475,8.00
129.96,9.11
130.445,8.00
130.93,8.59
131.416,8.00
131.901,8.00
132.386,8.00
132.871,8.12
133.357,9.11
133.842,9.20
134.327,8.00
134.812,8.45
135.298,8.00
135.783,8.00
136.268,8.98
136.753,8.12
137.239,8.00
137.724,8.57
138.209,8.24
138.694,8.00
139.18,8.00
139.665,8.00
140.15,9.69
140.635,8.00
141.121,8.00
141.606,8.00
142.091,9.50
142.576,8.00
143.062,8.00
143.547,8.00
144.032,8.14
144.517,8.00
145.003,8.00
145.488,8.34
145.973,8.00
146.458,8.00
146.943,8.01
147.429,8.54
147.914,8.11
148.399,8.48
148.884,8.77
149.37,8.40
149.855,9.34
150.34,8.23
150.825,8.07
151.311,8.91
151.796,8.00
152.281,8.00
152.766,8.00
153.252,8.00
153.737,9.22
154.222,8.00
154.707,8.00
155.193,8.00
155.678,8.00
156.163,8.13
156.648,8.66
157.134,8.17
157.619,8.00
158.104,8.00
158.589,8.00
159.075,8.00
159.56,8.74
160.045,8.00
160.53,8.00
161.016,8.00
161.501,8.00
161.986,8.00
162.471,8.00
162.956,8.00
163.442,8.14
163.927,10.70
164.412,25.19
164.897,45.09
165.383,35.15
165.868,14.74
166.353,8.57
166.838,8.73
167.324,8.00
167.809,8.00
168.294,8.32
168.779,8.00
169.265,8.00
169.75,9.31
170.235,8.36
170.72,9.78
171.206,9.34
171.691,8.00
172.176,8.00
172.661,8.00
173.147,9.93
173.632,8.00
174.117,8.28
174.602,8.00
175.088,8.15
175.573,9.69
176.058,8.00
176.543,8.59
177.029,8.49
177.514,8.00
177.999,10.01
178.484,8.00
178.969,8.63
179.455,8.96
179.94,8.00
180.425,8.00
180.91,8.45
181.396,9.09
181.881,8.56
182.366,8.77
182.851,8.00
183.337,8.00
183.822,8.00
184.307,9.43
184.792,9.82
185.278,8.00
185.763,8.02
186.248,8.00
186.733,9.37
187.219,8.00
187.704,8.00
188.189,9.11
188.674,8.00
189.16,8.00
189.645,9.82
190.13,10.80
190.615,8.57
191.101,9.99
191.586,9.53
192.071,8.47
192.556,8.00
193.042,8.00
193.527,8.00
194.012,8.00
194.497,8.00
194.982,8.78
195.468,8.75
195.953,9.99
196.438,8.00
196.923,8.74
197.409,9.63
197.894,8.00
198.379,8.00
198.864,8.01
199.35,8.00
199.835,8.75
200.32,8.36
200.805,8.84
201.291,8.00
201.776,8.86
202.261,9.42
202.746,8.32
203.232,9.09
203.717,8.13
204.202,8.21
204.687,8.00
205.173,8.00
205.658,8.00
206.143,8.00
206.628,8.00
207.114,8.62
207.599,8.00
208.084,8.62
208.569,9.92
209.055,8.00
209.54,10.24
210.025,8.28
210.51,8.09
210.995,9.58
211.481,11.19
211.966,8.00
212.451,8.47
212.936,8.65
213.422,9.23
213.907,8.00
214.392,8.93
214.877,8.15
215.363,8.00
215.848,8.00
216.333,9.15
216.818,8.00
217.304,9.74
217.789,8.00
218.274,8.00
218.759,8.34
219.245,8.00
219.73,8.27
220.215,8.00
220.7,8.00
221.186,8.00
221.671,8.00
222.156,8.00
222.641,8.00
223.127,8.00
223.612,9.37
224.097,8.00
224.582,8.00
225.068,8.00
225.553,8.00
226.038,8.00
226.523,8.00
227.009,8.00
227.494,8.73
227.979,8.00
228.464,10.10
228.949,8.00
229.435,8.00
229.92,8.00
230.405,8.22
230.89,8.28
231.376,8.00
231.861,10.09
232.346,8.26
232.831,9.77
233.317,8.11
233.802,8.00
234.287,8.00
234.772,8.48
235.258,8.42
235.743,8.00
236.228,8.00
236.713,8.00
237.199,8.00
237.684,8.00
238.169,8.00
238.654,8.54
239.14,8.00
239.625,9.83
240.11,8.00
240.595,8.17
241.081,8.00
241.566,8.00
242.051,8.39
242.536,8.00
243.022,9.60
243.507,8.37
243.992,8.00
244.477,8.00
244.962,8.00
245.448,8.56
245.933,8.00
246.418,8.00
246.903,8.00
247.389,8.00
247.874,8.00
248.359,8.00
248.844,8.00
249.33,8.00
249.815,8.76
250.3,8.03
250.785,8.00
251.271,8.00
251.756,8.00
252.241,9.06
252.726,9.28
